,Year,Date,Time,Round,Stadium,City,HomeTeam,HomeGoals,AwayGoals,AwayTeam,Observation,Outcome,Winner,TotalGoals
208,1970,06-Jun-70, 16:00 ,Group 2,Cuauhtemoc,Puebla ,Uruguay,0,0,Italy, ,D,Draw,0
209,1970,06-Jun-70, 16:00 ,Group 4,Nou Camp - Estadio Le�n,Leon ,Peru,3,0,Morocco, ,H,Peru,3
210,1970,06-Jun-70, 16:00 ,Group 3,Jalisco,Guadalajara ,Romania,2,1,Czechoslovakia, ,H,Romania,3
211,1970,06-Jun-70, 16:00 ,Group 1,Estadio Azteca,Mexico City ,Soviet Union,4,1,Belgium, ,H,Soviet Union,5
212,1970,07-Jun-70, 12:00 ,Group 2,Luis Dosal,Toluca ,Sweden,1,1,Israel, ,D,Draw,2
213,1970,07-Jun-70, 12:00 ,Group 4,Nou Camp - Estadio Le�n,Leon ,Germany FR,5,2,Bulgaria, ,H,Germany FR,7
214,1970,07-Jun-70, 12:00 ,Group 3,Jalisco,Guadalajara ,Brazil,1,0,England, ,H,Brazil,1
215,1970,07-Jun-70, 12:00 ,Group 1,Estadio Azteca,Mexico City ,Mexico,4,0,El Salvador, ,H,Mexico,4
216,1970,10-Jun-70, 16:00 ,Group 2,Cuauhtemoc,Puebla ,Sweden,1,0,Uruguay, ,H,Sweden,1
217,1970,10-Jun-70, 16:00 ,Group 4,Nou Camp - Estadio Le�n,Leon ,Germany FR,3,1,Peru, ,H,Germany FR,4
218,1970,10-Jun-70, 16:00 ,Group 3,Jalisco,Guadalajara ,Brazil,3,2,Romania, ,H,Brazil,5
219,1970,10-Jun-70, 16:00 ,Group 1,Estadio Azteca,Mexico City ,Soviet Union,2,0,El Salvador, ,H,Soviet Union,2
220,1970,11-Jun-70, 16:00 ,Group 2,Luis Dosal,Toluca ,Italy,0,0,Israel, ,D,Draw,0
221,1970,11-Jun-70, 16:00 ,Group 4,Nou Camp - Estadio Le�n,Leon ,Bulgaria,1,1,Morocco, ,D,Draw,2
222,1970,11-Jun-70, 16:00 ,Group 3,Jalisco,Guadalajara ,England,1,0,Czechoslovakia, ,H,England,1
223,1970,11-Jun-70, 16:00 ,Group 1,Estadio Azteca,Mexico City ,Mexico,1,0,Belgium, ,H,Mexico,1
224,1970,14-Jun-70, 12:00 ,Quarter-finals,Luis Dosal,Toluca ,Italy,4,1,Mexico, ,H,Italy,5
225,1970,14-Jun-70, 12:00 ,Quarter-finals,Nou Camp - Estadio Le�n,Leon ,Germany FR,3,2,England,Germany FR win after extra time ,H,Germany FR,5
226,1970,14-Jun-70, 12:00 ,Quarter-finals,Jalisco,Guadalajara ,Brazil,4,2,Peru, ,H,Brazil,6
227,1970,14-Jun-70, 12:00 ,Quarter-finals,Estadio Azteca,Mexico City ,Uruguay,1,0,Soviet Union,Uruguay win after extra time ,H,Uruguay,1
228,1970,17-Jun-70, 16:00 ,Semi-finals,Jalisco,Guadalajara ,Brazil,3,1,Uruguay, ,H,Brazil,4
229,1970,17-Jun-70, 16:00 ,Semi-finals,Estadio Azteca,Mexico City ,Italy,4,3,Germany FR,Italy win after extra time ,H,Italy,7
230,1970,20-Jun-70, 16:00 ,Match for third place,Estadio Azteca,Mexico City ,Germany FR,1,0,Uruguay, ,H,Germany FR,1
231,1970,21-Jun-70, 12:00 ,Final,Estadio Azteca,Mexico City ,Brazil,4,1,Italy, ,H,Brazil,5
232,1974,13-Jun-74, 17:00 ,Group 2,Waldstadion,Frankfurt/Main ,Brazil,0,0,Yugoslavia, ,D,Draw,0
233,1974,14-Jun-74, 16:00 ,Group 1,Olympiastadion,Berlin West ,Germany FR,1,0,Chile, ,H,Germany FR,1
234,1974,14-Jun-74, 19:30 ,Group 1,Volksparkstadion,Hamburg ,German DR,2,0,Australia, ,H,German DR,2
235,1974,14-Jun-74, 19:30 ,Group 2,Westfalenstadion,Dortmund ,Zaire,0,2,Scotland, ,A,Scotland,2
236,1974,15-Jun-74, 16:00 ,Group 3,Niedersachsenstadion,Hanover ,Uruguay,0,2,Netherlands, ,A,Netherlands,2
237,1974,15-Jun-74, 16:00 ,Group 3,Rheinstadion,D�Sseldorf ,Sweden,0,0,Bulgaria, ,D,Draw,0
238,1974,15-Jun-74, 18:00 ,Group 4,Olympiastadion,Munich ,Italy,3,1,Haiti, ,H,Italy,4
239,1974,15-Jun-74, 18:00 ,Group 4,Neckarstadion,Stuttgart ,Poland,3,2,Argentina, ,H,Poland,5
240,1974,18-Jun-74, 16:00 ,Group 1,Volksparkstadion,Hamburg ,Australia,0,3,Germany FR, ,A,Germany FR,3
241,1974,18-Jun-74, 19:30 ,Group 2,Waldstadion,Frankfurt/Main ,Scotland,0,0,Brazil, ,D,Draw,0
242,1974,18-Jun-74, 19:30 ,Group 1,Olympiastadion,Berlin West ,Chile,1,1,German DR, ,D,Draw,2
243,1974,18-Jun-74, 19:30 ,Group 2,Parkstadion,Gelsenkirchen ,Yugoslavia,9,0,Zaire, ,H,Yugoslavia,9
244,1974,19-Jun-74, 19:30 ,Group 3,Westfalenstadion,Dortmund ,Netherlands,0,0,Sweden, ,D,Draw,0
245,1974,19-Jun-74, 19:30 ,Group 3,Niedersachsenstadion,Hanover ,Bulgaria,1,1,Uruguay, ,D,Draw,2
246,1974,19-Jun-74, 19:30 ,Group 4,Olympiastadion,Munich ,Haiti,0,7,Poland, ,A,Poland,7
247,1974,19-Jun-74, 19:30 ,Group 4,Neckarstadion,Stuttgart ,Argentina,1,1,Italy, ,D,Draw,2
248,1974,22-Jun-74, 16:00 ,Group 2,Waldstadion,Frankfurt/Main ,Scotland,1,1,Yugoslavia, ,D,Draw,2
249,1974,22-Jun-74, 16:00 ,Group 1,Olympiastadion,Berlin West ,Australia,0,0,Chile, ,D,Draw,0
250,1974,22-Jun-74, 16:00 ,Group 2,Parkstadion,Gelsenkirchen ,Zaire,0,3,Brazil, ,A,Brazil,3
251,1974,22-Jun-74, 19:30 ,Group 1,Volksparkstadion,Hamburg ,German DR,1,0,Germany FR, ,H,German DR,1
252,1974,23-Jun-74, 16:00 ,Group 3,Westfalenstadion,Dortmund ,Bulgaria,1,4,Netherlands, ,A,Netherlands,5
253,1974,23-Jun-74, 16:00 ,Group 4,Olympiastadion,Munich ,Argentina,4,1,Haiti, ,H,Argentina,5
254,1974,23-Jun-74, 16:00 ,Group 3,Rheinstadion,D�Sseldorf ,Sweden,3,0,Uruguay, ,H,Sweden,3
255,1974,23-Jun-74, 16:00 ,Group 4,Neckarstadion,Stuttgart ,Poland,2,1,Italy, ,H,Poland,3
256,1974,26-Jun-74, 16:00 ,Group B,Rheinstadion,D�Sseldorf ,Yugoslavia,0,2,Germany FR, ,A,Germany FR,2
257,1974,26-Jun-74, 19:30 ,Group A,Niedersachsenstadion,Hanover ,Brazil,1,0,German DR, ,H,Brazil,1
258,1974,26-Jun-74, 19:30 ,Group A,Parkstadion,Gelsenkirchen ,Netherlands,4,0,Argentina, ,H,Netherlands,4
259,1974,26-Jun-74, 19:30 ,Group B,Neckarstadion,Stuttgart ,Sweden,0,1,Poland, ,A,Poland,1
260,1974,30-Jun-74, 16:00 ,Group A,Niedersachsenstadion,Hanover ,Argentina,1,2,Brazil, ,A,Brazil,3
261,1974,30-Jun-74, 16:00 ,Group B,Waldstadion,Frankfurt/Main ,Poland,2,1,Yugoslavia, ,H,Poland,3
262,1974,30-Jun-74, 16:00 ,Group A,Parkstadion,Gelsenkirchen ,German DR,0,2,Netherlands, ,A,Netherlands,2
263,1974,30-Jun-74, 19:30 ,Group B,Rheinstadion,D�Sseldorf ,Germany FR,4,2,Sweden, ,H,Germany FR,6
264,1974,03-Jul-74, 17:00 ,Group B,Waldstadion,Frankfurt/Main ,Poland,0,1,Germany FR, ,A,Germany FR,1
265,1974,03-Jul-74, 19:30 ,Group A,Westfalenstadion,Dortmund ,Netherlands,2,0,Brazil, ,H,Netherlands,2
266,1974,03-Jul-74, 19:30 ,Group A,Parkstadion,Gelsenkirchen ,Argentina,1,1,German DR, ,D,Draw,2
267,1974,03-Jul-74, 19:30 ,Group B,Rheinstadion,D�Sseldorf ,Sweden,2,1,Yugoslavia, ,H,Sweden,3
268,1974,06-Jul-74, 16:00 ,Match for third place,Olympiastadion,Munich ,Brazil,0,1,Poland, ,A,Poland,1
269,1974,07-Jul-74, 16:00 ,Final,Olympiastadion,Munich ,Netherlands,1,2,Germany FR, ,A,Germany FR,3
270,1978,01-Jun-78, 15:00 ,Group 2,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires ,Germany FR,0,0,Poland, ,D,Draw,0
271,1978,02-Jun-78, 13:45 ,Group 1,Estadio Jos� Mar�a Minella,Mar Del Plata ,Italy,2,1,France, ,H,Italy,3
272,1978,02-Jun-78, 16:45 ,Group 2,Arroyito - Estadio Dr. Lisandro de la Torre,Rosario ,Tunisia,3,1,Mexico, ,H,Tunisia,4
273,1978,02-Jun-78, 19:15 ,Group 1,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires ,Argentina,2,1,Hungary, ,H,Argentina,3
274,1978,03-Jun-78, 13:45 ,Group 3,Estadio Jos� Mar�a Minella,Mar Del Plata ,Sweden,1,1,Brazil, ,D,Draw,2
275,1978,03-Jun-78, 13:45 ,Group 3,Jose Amalfitani,Buenos Aires ,Austria,2,1,Spain, ,H,Austria,3
276,1978,03-Jun-78, 16:45 ,Group 4,Estadio Ol�mpico Chateau Carreras,Cordoba ,Peru,3,1,Scotland, ,H,Peru,4
277,1978,03-Jun-78, 16:45 ,Group 4,San Martin,Mendoza ,Netherlands,3,0,IR Iran, ,H,Netherlands,3
278,1978,06-Jun-78, 13:45 ,Group 1,Estadio Jos� Mar�a Minella,Mar Del Plata ,Italy,3,1,Hungary, ,H,Italy,4
279,1978,06-Jun-78, 16:45 ,Group 2,Arroyito - Estadio Dr. Lisandro de la Torre,Rosario ,Poland,1,0,Tunisia, ,H,Poland,1
280,1978,06-Jun-78, 16:45 ,Group 2,Estadio Ol�mpico Chateau Carreras,Cordoba ,Germany FR,6,0,Mexico, ,H,Germany FR,6
281,1978,06-Jun-78, 19:15 ,Group 1,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires ,Argentina,2,1,France, ,H,Argentina,3
282,1978,07-Jun-78, 13:45 ,Group 3,Estadio Jos� Mar�a Minella,Mar Del Plata ,Brazil,0,0,Spain, ,D,Draw,0
283,1978,07-Jun-78, 13:45 ,Group 3,Jose Amalfitani,Buenos Aires ,Austria,1,0,Sweden, ,H,Austria,1
284,1978,07-Jun-78, 16:45 ,Group 4,Estadio Ol�mpico Chateau Carreras,Cordoba ,Scotland,1,1,IR Iran, ,D,Draw,2
285,1978,07-Jun-78, 16:45 ,Group 4,San Martin,Mendoza ,Netherlands,0,0,Peru, ,D,Draw,0
286,1978,10-Jun-78, 15:10 ,Group 1,Estadio Jos� Mar�a Minella,Mar Del Plata ,France,3,1,Hungary, ,H,France,4
287,1978,10-Jun-78, 16:45 ,Group 2,Arroyito - Estadio Dr. Lisandro de la Torre,Rosario ,Poland,3,1,Mexico, ,H,Poland,4
288,1978,10-Jun-78, 16:45 ,Group 2,Estadio Ol�mpico Chateau Carreras,Cordoba ,Germany FR,0,0,Tunisia, ,D,Draw,0
289,1978,10-Jun-78, 19:15 ,Group 1,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires ,Italy,1,0,Argentina, ,H,Italy,1
290,1978,11-Jun-78, 13:45 ,Group 3,Estadio Jos� Mar�a Minella,Mar Del Plata ,Brazil,1,0,Austria, ,H,Brazil,1
291,1978,11-Jun-78, 13:45 ,Group 3,Jose Amalfitani,Buenos Aires ,Spain,1,0,Sweden, ,H,Spain,1
292,1978,11-Jun-78, 16:45 ,Group 4,Estadio Ol�mpico Chateau Carreras,Cordoba ,Peru,4,1,Iran, ,H,Peru,5
293,1978,11-Jun-78, 16:45 ,Group 4,San Martin,Mendoza ,Scotland,3,2,Netherlands, ,H,Scotland,5
294,1978,14-Jun-78, 13:45 ,Group A,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires ,Germany FR,0,0,Italy, ,D,Draw,0
295,1978,14-Jun-78, 13:45 ,Group A,Estadio Ol�mpico Chateau Carreras,Cordoba ,Netherlands,5,1,Austria, ,H,Netherlands,6
296,1978,14-Jun-78, 16:45 ,Group B,San Martin,Mendoza ,Brazil,3,0,Peru, ,H,Brazil,3
297,1978,14-Jun-78, 19:15 ,Group B,Arroyito - Estadio Dr. Lisandro de la Torre,Rosario ,Argentina,2,0,Poland, ,H,Argentina,2
298,1978,18-Jun-78, 13:45 ,Group B,San Martin,Mendoza ,Poland,1,0,Peru, ,H,Poland,1
299,1978,18-Jun-78, 16:45 ,Group A,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires ,Italy,1,0,Austria, ,H,Italy,1
300,1978,18-Jun-78, 16:45 ,Group A,Estadio Ol�mpico Chateau Carreras,Cordoba ,Germany FR,2,2,Netherlands, ,D,Draw,4
301,1978,18-Jun-78, 19:15 ,Group B,Arroyito - Estadio Dr. Lisandro de la Torre,Rosario ,Argentina,0,0,Brazil, ,D,Draw,0
302,1978,21-Jun-78, 13:45 ,Group A,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires ,Netherlands,2,1,Italy, ,H,Netherlands,3
303,1978,21-Jun-78, 13:45 ,Group A,Estadio Ol�mpico Chateau Carreras,Cordoba ,Austria,3,2,Germany FR, ,H,Austria,5
304,1978,21-Jun-78, 16:45 ,Group B,San Martin,Mendoza ,Brazil,3,1,Poland, ,H,Brazil,4
305,1978,21-Jun-78, 19:15 ,Group B,Arroyito - Estadio Dr. Lisandro de la Torre,Rosario ,Argentina,6,0,Peru, ,H,Argentina,6
306,1978,24-Jun-78, 15:00 ,Match for third place,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires ,Brazil,2,1,Italy, ,H,Brazil,3
307,1978,25-Jun-78, 15:00 ,Final,El Monumental - Estadio Monumental Antonio Vespuci,Buenos Aires ,Argentina,3,1,Netherlands,Argentina win after extra time ,H,Argentina,4
308,1982,13-Jun-82, 20:00 ,Group 3,Camp Nou,Barcelona ,Argentina,0,1,Belgium, ,A,Belgium,1
309,1982,14-Jun-82, 17:15 ,Group 1,Estadio Municipal de Bala�dos,Vigo ,Italy,0,0,Poland, ,D,Draw,0
310,1982,14-Jun-82, 21:00 ,Group 6,Ramon Sanchez Pizjuan,Seville ,Brazil,2,1,Soviet Union, ,H,Brazil,3
311,1982,15-Jun-82, 17:15 ,Group 1,Riazor,La Coru�A ,Peru,0,0,Cameroon, ,D,Draw,0
312,1982,15-Jun-82, 21:00 ,Group 3,Nuevo Estadio,Elche ,Hungary,10,1,El Salvador, ,H,Hungary,11
